"Comment","Designator","Footprint","JLCPCB Part #（optional）"
"F1C200s; F1C200S","U1","BootConsole:F1C200s_QFN88_10x10_P0.4_EP6.74","C9900031365"
"TPS62160DGKR; TPS62160DGKR","U2,U3,U4","Package_SO:MSOP-8_3x3mm_P0.65mm","C60726"
"TPS2553DBVT; TPS2553DBVT","U5","Package_TO_SOT_SMD:SOT-23-6",""
"TLV75528PDBVR; TLV75528PDBVR","U6","Package_TO_SOT_SMD:SOT-23-5","C2868951"
"TPS386000RGPT; TPS386000RGPT","U7","BootConsole:TPS386000_RGP20_EP2.8",""
"2.2uH / XFL4020; XFL4020-222MEC","L1,L2,L3","Inductor_SMD:L_Coilcraft_XxL4020","C122469"
"24 MHz / CL 18 pF; H130A-24.000-18-2030-EXT-TR","Y1","BootConsole:Raltron_H130A_5032","C1986502"
"USB-C / USB4105-GF-A; USB4105-GF-A","J1","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
"microSD / 104031-0811; 104031-0811","J2","Connector_Card:microSD_HC_Molex_104031-0811",""
"GND / TX / RX; TSW-103-07-G-S","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"USBLC6-2SC6; USBLC6-2SC6","D1","Package_TO_SOT_SMD:SOT-23-6","C7519"
"Green LED / low current; APT1608LZGCK","D2,D3","LED_SMD:LED_0603_1608Metric",""
"RESET; TL3305AF160QG","SW1","Button_Switch_SMD:SW_SPST_TL3305A",""
"2k / 0.1%; RG1608P-202-B-T5","R1,R2","R0603",""
"200k / 1%; RC0603FR-07200KL","R3,R4","R0603",""
"5.1k / 1%; CR0603-FX-5101ELF","R5,R6","R0603",""
"47k / 1%; RC0603FR-0747KL","R7,R8,R9,R10,R11,R22","R0603",""
"22R; CRCW060322R0FKEA","R12","R0603",""
"67.3k / 0.1%; RN73R1JTTD6732B25","R13","R0603",""
"10k / 0.1%; RT0603BRD0710KL","R14,R16,R20","R0603",""
"55.6k / 0.1%; TNPW060355K6BEEA","R15","R0603",""
"48.7k / 0.1%; 10 ppm/C max; RQ73C1J48K7BTDF","R17","R0603",""
"10k / 0.1%; 10 ppm/C max; TNPW060310K0BYEN","R18","R0603",""
"15.8k / 0.1%; RG1608P-1582-B-T5","R19","R0603",""
"100k / 1%; RC0603FR-07100KL","R21","R0603",""
"340R / 0.1%; 25 ppm/C max; RT0603BRD07340RL","R23","R0603",""
"820R / 0.05%; 10 ppm/C max; RG1608N-821-W-T1","R24,R26,R28","R0603",""
"1.8k / 0.1%; 25 ppm/C max; RG1608P-182-B-T5","R25","R0603",""
"2.67k / 0.1%; 25 ppm/C max; RG1608P-2671-B-T5","R27","R0603",""
"49.9k / 1%; RC0603FR-0749K9L","R29","R0603",""
"1k / 1%; RC0603FR-071KL","R30,R31","R0603",""
"30p / C0G / 1%; C0603C300F5GACTU","C1,C2","C0603",""
"100n / 100V; GRM188R72A104KA35D","C3,C4,C5,C6,C7,C9,C10,C11,C12,C13,C15,C16,C17,C18,C19,C20,C22,C30,C36","C0603",""
"4.7u / 10V; GRM188R61A475KE15D","C8,C14,C21,C23","C0603","C71633"
"1u / 25V; C1608X7R1E105K080AB","C24,C25,C28,C29,C43,C44","C0603",""
"10u / 10V; C2012X5R1A106M085AB","C26,C27,C31,C37,C39,C41","C0805",""
"22u / 16V; CL21A226MOCLRNC","C38,C40,C42","C0805","C398815"
