"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","129.100000mm","-126.300000mm","Top","270"
"C2","129.100000mm","-116.900000mm","Top","90"
"C3","114.400000mm","-132.400000mm","Top","270"
"C4","112.800000mm","-132.400000mm","Top","90"
"C5","113.150000mm","-124.600000mm","Top","180"
"C6","122.400000mm","-127.500000mm","Top","270"
"C7","122.400000mm","-113.000000mm","Top","90"
"C8","123.200000mm","-110.300000mm","Top","0"
"C9","116.000000mm","-127.500000mm","Top","270"
"C10","117.600000mm","-127.500000mm","Top","270"
"C11","119.200000mm","-127.500000mm","Top","270"
"C12","120.800000mm","-127.500000mm","Top","270"
"C13","124.000000mm","-127.500000mm","Top","270"
"C14","116.800000mm","-134.800000mm","Top","0"
"C15","113.150000mm","-118.600000mm","Top","180"
"C16","113.150000mm","-123.000000mm","Top","180"
"C17","126.250000mm","-124.000000mm","Top","270"
"C18","124.000000mm","-113.000000mm","Top","90"
"C19","113.150000mm","-117.000000mm","Top","180"
"C20","120.800000mm","-113.000000mm","Top","90"
"C21","120.000000mm","-110.300000mm","Top","0"
"C22","119.200000mm","-113.000000mm","Top","90"
"C23","116.800000mm","-110.300000mm","Top","0"
"C24","117.600000mm","-113.000000mm","Top","90"
"C25","116.000000mm","-113.000000mm","Top","90"
"C26","116.600000mm","-107.100000mm","Top","0"
"C27","120.100000mm","-107.100000mm","Top","0"
"C28","123.400000mm","-107.100000mm","Top","0"
"C29","105.800000mm","-104.800000mm","Top","0"
"C30","120.000000mm","-133.500000mm","Top","0"
"C31","123.400000mm","-133.500000mm","Top","0"
"C36","131.000000mm","-127.700000mm","Top","270"
"C37","103.400000mm","-117.500000mm","Top","0"
"C38","109.000000mm","-117.100000mm","Top","180"
"C39","103.400000mm","-127.000000mm","Top","0"
"C40","109.000000mm","-126.600000mm","Top","180"
"C41","103.400000mm","-108.000000mm","Top","0"
"C42","109.000000mm","-107.600000mm","Top","180"
"C43","128.900000mm","-112.000000mm","Top","0"
"C44","136.100000mm","-111.000000mm","Top","90"
"D1","128.600000mm","-104.800000mm","Top","0"
"D2","134.600000mm","-116.500000mm","Top","0"
"D3","138.000000mm","-116.500000mm","Top","0"
"J1","120.000000mm","-101.100000mm","Top","180"
"J2","120.000000mm","-134.800000mm","Bottom","180"
"J3","139.200000mm","-126.800000mm","Top","0"
"L1","109.000000mm","-120.500000mm","Top","0"
"L2","109.000000mm","-130.000000mm","Top","0"
"L3","109.000000mm","-111.000000mm","Top","0"
"R1","112.800000mm","-129.199999mm","Top","90"
"R2","114.400000mm","-129.199999mm","Top","270"
"R3","113.200000mm","-110.500000mm","Top","0"
"R4","113.200000mm","-112.300000mm","Top","0"
"R5","113.800000mm","-108.000000mm","Top","90"
"R6","126.200000mm","-108.000000mm","Top","90"
"R7","119.600000mm","-130.800000mm","Top","90"
"R8","118.000000mm","-130.800000mm","Top","90"
"R9","116.400000mm","-130.800000mm","Top","90"
"R10","122.800000mm","-130.800000mm","Top","90"
"R11","121.200000mm","-130.800000mm","Top","90"
"R12","126.700000mm","-116.900000mm","Top","90"
"R13","132.199999mm","-119.200000mm","Top","270"
"R14","132.199999mm","-122.500000mm","Top","270"
"R15","134.000000mm","-119.200000mm","Top","270"
"R16","134.000000mm","-122.500000mm","Top","270"
"R17","135.800000mm","-119.200000mm","Top","270"
"R18","135.800000mm","-122.500000mm","Top","270"
"R19","137.600000mm","-119.200000mm","Top","270"
"R20","137.600000mm","-122.500000mm","Top","270"
"R21","132.800000mm","-131.500000mm","Top","0"
"R22","136.400000mm","-132.100000mm","Top","90"
"R23","103.400000mm","-123.600000mm","Top","0"
"R24","106.600000mm","-123.600000mm","Top","0"
"R25","103.400000mm","-133.100000mm","Top","0"
"R26","106.600000mm","-133.100000mm","Top","0"
"R27","103.400000mm","-114.100000mm","Top","0"
"R28","106.600000mm","-114.100000mm","Top","0"
"R29","113.100000mm","-104.800000mm","Top","0"
"R30","134.600000mm","-114.700000mm","Top","0"
"R31","138.000000mm","-114.700000mm","Top","0"
"SW1","128.400000mm","-134.600000mm","Top","90"
"U1","120.000000mm","-120.000000mm","Top","0"
"U2","103.400000mm","-120.500000mm","Top","0"
"U3","103.400000mm","-130.000000mm","Top","0"
"U4","103.400000mm","-111.000000mm","Top","0"
"U5","109.500000mm","-104.800000mm","Top","0"
"U6","132.500000mm","-112.000000mm","Top","0"
"U7","134.400000mm","-127.500000mm","Top","180"
"Y1","129.100000mm","-121.600000mm","Top","90"
