"DigiKey Part Number","Quantity","Customer Reference","Manufacturer Part Number","Manufacturer"
"296-51798-1-ND","1","U6","TLV75528PDBVR","Texas Instruments"
"296-25181-1-ND","1","U7","TPS386000RGPT","Texas Instruments"
"2151-H130A-24.000-18-2030-EXT-TRCT-ND","2","Y1","H130A-24.000-18-2030-EXT-TR","Raltron Electronics"
"2073-USB4105-GF-ACT-ND","2","J1","USB4105-GF-A","Global Connector Technology"
"754-1934-1-ND","4","D2, D3","APT1608LZGCK","Kingbright"
"EG5350CT-ND","2","SW1","TL3305AF160QG","E-Switch"
"RG16P2.0KBCT-ND","7","R1, R2","RG1608P-202-B-T5","Susumu"
"CR0603-FX-5101ELFCT-ND","10","R5, R6","CR0603-FX-5101ELF","Bourns"
"311-47.0KHRCT-ND","11","R7, R8, R9, R10, R11, R22","RC0603FR-0747KL","YAGEO"
"541-22.0HCT-ND","10","R12","CRCW060322R0FKEA","Vishay Dale"
"2019-RN73R1JTTD6732B25CT-ND","6","R13","RN73R1JTTD6732B25","KOA Speer Electronics"
"541-TNPW060355K6BEEACT-ND","6","R15","TNPW060355K6BEEA","Vishay Dale"
"1712-RQ73C1J48K7BTDFCT-ND","6","R17","RQ73C1J48K7BTDF","TE Connectivity"
"541-4407-1-ND","1","R18","TNPW060310K0BYEN","Vishay Dale"
"408-RG1608P-1582-B-T5CT-ND","6","R19","RG1608P-1582-B-T5","Susumu"
"311-100KHRCT-ND","10","R21","RC0603FR-07100KL","YAGEO"
"YAG4535CT-ND","10","R23","RT0603BRD07340RL","Yageo"
"RG16N820WCT-ND","13","R24, R26, R28","RG1608N-821-W-T1","Susumu"
"RG16P1.8KBCT-ND","6","R25","RG1608P-182-B-T5","Susumu"
"RG16P2.67KBCT-ND","6","R27","RG1608P-2671-B-T5","Susumu"
"311-49.9KHRCT-ND","10","R29","RC0603FR-0749K9L","YAGEO"
"311-1.00KHRCT-ND","10","R30, R31","RC0603FR-071KL","YAGEO"
"399-C0603C300F5GACTUCT-ND","4","C1, C2","C0603C300F5GACTU","KEMET"
"445-5956-1-ND","11","C24, C25, C28, C29, C43, C44","C1608X7R1E105K080AB","TDK"
"445-7659-1-ND","11","C26, C27, C31, C37, C39, C41","C2012X5R1A106M085AB","TDK"
