"LCSC Part Number","Quantity","Manufacturer Part Number","Manufacturer","Designator"
"C2879851","1","F1C200S","Allwinner Tech","U1"
"C60726","3","TPS62160DGKR","Texas Instruments","U2, U3, U4"
"C544907","1","TPS2553DBVT","Texas Instruments","U5"
"C122469","4","XFL4020-222MEC","Coilcraft","L1, L2, L3"
"C585350","2","104031-0811","Molex","J2"
"C3335811","5","TSW-103-07-G-S","Samtec","J3"
"C7519","5","USBLC6-2SC6","STMicroelectronics","D1"
"C105574","100","RC0603FR-07200KL","YAGEO","R3, R4"
"C95204","20","RT0603BRD0710KL","YAGEO","R14, R16, R20"
"C77058","24","GRM188R72A104KA35D","Murata","C3, C4, C5, C6, C7, C9, C10, C11, C12, C13, C15, C16, C17, C18, C19, C20, C22, C30, C36"
"C71633","20","GRM188R61A475KE15D","Murata","C8, C14, C21, C23"
"C398815","10","CL21A226MOCLRNC","Samsung Electro-Mechanics","C38, C40, C42"
